"","event_id","lat","long","year"
"1","1992-0151-COL",7.123,-76.486,"1992"
"2","1992-0202-AFG",33.377,71.317,"1992"
"3","1992-0093-BEL",51.153,5.798,"1992"
"4","1992-0256-CHN",29.41,91.1,"1992"
"5","1992-0067-CUB",19.9,-77.5,"1992"
"6","1992-0093-DEU",51.153,5.798,"1992"
"7","1992-0012-DZA",36.5,3,"1992"
"8","1992-0149-EGY",29.888,31.223,"1992"
"9","1992-0481-GEO",42.503,45.073,"1992"
"10","1992-0180-IRN",31.726,50.778,"1992"
"11","1992-0081-KGZ",42.142,73.575,"1992"
"12","1992-0163-IDN",-8.482,121.93,"1992"
"13","1992-0079-NIC",11.742,-87.34,"1992"
"14","1992-0094-GTM",14.4,-90.6,"1992"
"15","1992-0247-IDN",-7.138,109.067,"1992"
"16","1992-0252-JPN",35.106,139.644,"1992"
"17","1992-0103-JPN",32.75,130.3,"1992"
"18","1992-0082-KGZ",42.01,74.01,"1992"
"19","1992-0025-NIC",12.5,-86.7,"1992"
"20","1992-0093-NLD",51.153,5.798,"1992"
"21","1992-0058-PAK",29.3,66.7,"1992"
"22","1992-0202-PAK",33.377,71.317,"1992"
"23","1992-0030-PHL",14,121,"1992"
"24","1992-0146-PNG",-4.08,145.037,"1992"
"25","1992-0022-TUR",39.71,39.605,"1992"
"26","1992-0236-UZB",41.019,72.429,"1992"
"27","1992-0120-USA",40.415,-124.603,"1992"
"28","1992-0215-USA",34,-118.15,"1992"
"29","1992-0554-USA",33.961,-116.32,"1992"
"30","1992-0064-COD",-6.087,26.651,"1992"
