"","event_id","lat","long","year"
"1","2016-0420-ALB",42.254,19.446,"2016"
"2","2016-0428-AUS",-33.277,139.898,"2016"
"3","2016-0002-BGD",24.804,93.65,"2016"
"4","2016-0117-ECU",0.382,-79.92,"2016"
"5","2016-0395-NZL",-42.725,173.064,"2016"
"6","2016-0424-MEX",23.273,-99.793,"2016"
"7","2016-0246-BOL",-12.843,-64.93,"2016"
"8","2016-0241-CHN",27.976,114.24,"2016"
"9","2016-0423-DOM",18.92,-70.125,"2016"
"10","2016-0101-ETH",9.268,41.691,"2016"
"11","2016-0418-HTI",19.739,-72.587,"2016"
"12","2016-0345-IDN",-7.042,108.238,"2016"
"13","2016-0425-IDN",0.649,123.245,"2016"
"14","2016-0139-IND",27.464,95.607,"2016"
"15","2016-0480-CHN",39.238,74.047,"2016"
"16","2016-0179-DEU",48.407,10.22,"2016"
"17","2016-0151-ECU",0.495,-79.62,"2016"
"18","2016-0334-GRC",37.418,22.292,"2016"
"19","2016-0019-IDN",-3.863,127.229,"2016"
"20","2016-0458-IDN",-8.218,117.816,"2016"
"21","2016-0475-IDN",5.281,96.108,"2016"
"22","2016-0002-IND",24.804,93.65,"2016"
"23","2016-0239-IND",27.068,93.95,"2016"
"24","2016-0391-IND",17.654,80.34,"2016"
"25","2016-0313-ITA",42.723,13.187,"2016"
"26","2016-0357-ITA",42.934,13.043,"2016"
"27","2016-0358-ITA",42.855,13.088,"2016"
"28","2016-0107-JPN",32.788,130.7,"2016"
"29","2016-0121-JPN",32.791,130.75,"2016"
"30","2016-0492-JPN",35.37,133.812,"2016"
"31","2016-0341-KOR",35.781,129.216,"2016"
"32","2016-0333-MEX",23.672,-104.964,"2016"
"33","2016-0332-MEX",17.071,-93.805,"2016"
"34","2016-0335-MKD",42.009,21.49,"2016"
"35","2016-0383-MMR",20.923,94.569,"2016"
"36","2016-0489-MYS",5.122,102.56,"2016"
"37","2016-0516-MYS",4.7,102.411,"2016"
"38","2016-0096-NZL",-42.169,172.21,"2016"
"39","2016-0100-PAK",36.473,71.13,"2016"
"40","2016-0043-TWN",22.938,120.6,"2016"
"41","2016-0483-SLB",-10.676,161.33,"2016"
"42","2016-0427-UKR",47.256,31.348,"2016"
"43","2016-0298-PER",-15.64,-71.68,"2016"
"44","2016-0464-PER",-15.321,-70.823,"2016"
"45","2016-0426-ROU",45.151,27.562,"2016"
"46","2016-0128-RUS",61.967,59.803,"2016"
"47","2016-0360-THA",14.867,100.395,"2016"
"48","2016-0472-THA",14.445,100.753,"2016"
"49","2016-0251-TJK",38.883,70.626,"2016"
"50","2016-0329-TZA",1.036,31.618,"2016"
"51","2016-0329-UGA",-1.036,31.618,"2016"
"52","2016-0493-USA",35.991,-96.803,"2016"
"53","2016-0292-USA",29.988,-91.8,"2016"
"54","2016-0400-VNM",16.004,107.68,"2016"
"55","2016-0526-CHN",43.823,86.345,"2016"
"56","2016-0536-CHN",26.077,99.539,"2016"
