"","event_id","lat","long","year"
"1","1995-0015-COL",4.9,-73.1,"1995"
"2","1995-0171-CHL",-23.34,-70.36,"1995"
"3","1995-0148-CHN",21.966,99.196,"1995"
"4","1995-0261-CHN",25.9,102.2,"1995"
"5","1995-0457-CHN",36.443,103.105,"1995"
"6","1995-0030-COL",4.1,-76.6,"1995"
"7","1995-0054-COL",1.12,-77.17,"1995"
"8","1995-0034-CYP",35.1,32.3,"1995"
"9","1995-0084-IDN",40.1,21.6,"1995"
"10","1995-0016-JPN",34.58,135,"1995"
"11","1995-0252-IDN",-2.1,101.3,"1995"
"12","1995-0047-ECU",-2.13,-79.54,"1995"
"13","1995-0226-ECU",-2.7,-77.8,"1995"
"14","1995-0293-EGY",28.8,34.8,"1995"
"15","1995-0085-GRC",40.1,21.6,"1995"
"16","1995-0437-GRC",38.4,22.2,"1995"
"17","1995-0089-IDN",-1.02,120.5,"1995"
"18","1995-0449-JPN",37.925,139.186,"1995"
"19","1995-0203-MEX",16.8,-98.6,"1995"
"20","1995-0253-MEX",16.2,104.1,"1995"
"21","1995-0454-MEX",16.8,-93.4,"1995"
"22","1995-0148-MMR",21.966,99.196,"1995"
"23","1995-0283-NIC",12.5,-86.7,"1995"
"24","1995-0237-NZL",-39.28,175.57,"1995"
"25","1995-0055-PHL",12.01,125.6,"1995"
"26","1995-0097-RUS",52.5,142.9,"1995"
"27","1995-0148-THA",21.966,99.196,"1995"
"28","1995-0233-TUR",38,30.1,"1995"
