"","event_id","lat","long","year"
"1","1997-0247-CHL",-30.933,-71.22,"1997"
"2","1997-0095-AFG",33.825,59.809,"1997"
"3","1997-0368-ARM",41.101,45.14,"1997"
"4","1997-0281-BGD",22.212,92.702,"1997"
"5","1997-0011-CHN",39.474,76.998,"1997"
"6","1997-0326-CHN",39.3,76.5,"1997"
"7","1997-0531-CHN",39.422,76.839,"1997"
"8","1997-0532-CHN",39.527,76.941,"1997"
"9","1997-0095-IRN",33.825,59.809,"1997"
"10","1997-0030-PAK",29.976,68.208,"1997"
"11","1997-0240-IDN",-4,119.4,"1997"
"12","1997-0012-IDN",-7.32,110.26,"1997"
"13","1997-0115-IND",23.083,80.041,"1997"
"14","1997-0017-IRN",37.661,57.291,"1997"
"15","1997-0035-IRN",38.075,48.05,"1997"
"16","1997-0533-IRN",33.938,-71.872,"1997"
"17","1997-0228-ITA",43,13,"1997"
"18","1997-0028-KGZ",41.4,74.2,"1997"
"19","1997-0071-MEX",17.31,-101.16,"1997"
"20","1997-0116-MEX",18,-102.5,"1997"
"21","1997-0339-MEX",19.02,-98.38,"1997"
"22","1997-0050-MSR",16.45,-62.14,"1997"
"23","1997-0147-VEN",10.598,-63.486,"1997"
"24","1997-0045-TTO",11.112,-60.892,"1997"
"25","1997-0539-VUT",-12.584,166.676,"1997"
"26","1997-0534-ZAF",-26.857,26.619,"1997"
