"","event_id","lat","long","year"
"1","1991-0498-AFG",37.457,68.273,"1991"
"2","1991-0114-CRI",9.685,-83.073,"1991"
"3","1991-0033-AFG",38.993,70.423,"1991"
"4","1991-0765-ARG",-45.54,-72.58,"1991"
"5","1991-0212-CHL",-45.54,-72.58,"1991"
"6","1991-0043-CHN",40.3,78.9,"1991"
"7","1991-0088-CHN",39.8,173.9,"1991"
"8","1991-0390-COL",3.554,-77.442,"1991"
"9","1991-0293-CRI",9.59,-84.04,"1991"
"10","1991-0773-CRI",9.542,-82.418,"1991"
"11","1991-0292-CRI",14.4,-90.6,"1991"
"12","1991-0132-PHL",15.13,120.35,"1991"
"13","1991-0114-PAN",9.685,-83.073,"1991"
"14","1991-0122-GEO",42.8,44,"1991"
"15","1991-0230-GTM",14.646,-90.986,"1991"
"16","1991-0368-IND",30.78,78.774,"1991"
"17","1991-0173-PER",-15.679,-71.274,"1991"
"18","1991-0774-ROU",44.888,22.407,"1991"
"19","1991-0124-IDN",1.196,122.787,"1991"
"20","1991-0165-IDN",-8.099,125.681,"1991"
"21","1991-0417-IDN",1.36,124.79,"1991"
"22","1991-0284-IRN",30.6,50.2,"1991"
"23","1991-0232-IRQ",36.12,44.01,"1991"
"24","1991-0759-ITA",37.734,15.004,"1991"
"25","1991-0228-JPN",32.75,130.3,"1991"
"26","1991-0001-MMR",23.5,96.3,"1991"
"27","1991-0033-PAK",38.993,70.423,"1991"
"28","1991-0773-PAN",9.542,-82.418,"1991"
"29","1991-0066-PER",-5.982,-77.094,"1991"
"30","1991-0087-PHL",14,121,"1991"
"31","1991-0399-ROU",45.5,21.3,"1991"
"32","1991-0117-SUN",42.15,42.44,"1991"
"33","1991-0033-SUN",35.883,70.423,"1991"
"34","1991-0055-SUN",60.7,167.2,"1991"
"35","1991-0498-SUN",37.457,68.273,"1991"
"36","1991-0192-USA",34.1,-118.09,"1991"
"37","1991-0682-YEM",13.887,44.068,"1991"
