"","event_id","lat","long","year"
"1","2007-0101-JPN",37.336,136.588,"2007"
"2","2007-0095-MDG",-14.84,49.94,"2007"
"3","2007-0160-AUS",-32.87,151.38,"2007"
"4","2007-0134-HTI",19.41,-71.78,"2007"
"5","2007-0105-AFG",33.25,64.89,"2007"
"6","2007-0161-BGD",22.4,91.95,"2007"
"7","2007-0042-BOL",-16.97,-61.96,"2007"
"8","2007-0003-BRA",-22.42,-44,"2007"
"9","2007-0150-COL",2.93,-76.03,"2007"
"10","2007-0162-COL",8.38,-75.59,"2007"
"11","2007-0134-DOM",19.41,-71.78,"2007"
"12","2007-0086-IDN",-8.57,120.76,"2007"
"13","2007-0012-LKA",6.71,80.95,"2007"
"14","2007-0158-CHL",-45.243,-72.648,"2007"
"15","2007-0016-IDN",3.56,125.54,"2007"
"16","2007-0010-AGO",-12.95,24.37,"2007"
"17","2007-0027-AGO",-8.87,13.36,"2007"
"18","2007-0135-ARG",-31.99,-59.12,"2007"
"19","2007-0028-BDI",-3.14,30.4,"2007"
"20","2007-0141-DZA",35.64,4.2,"2007"
"21","2007-0132-ESP",41.65,-0.65,"2007"
"22","2007-0108-FJI",-17.77,177.48,"2007"
"23","2007-0087-IDN",-0.488,100.53,"2007"
"24","2007-0050-IDN",-6.22,106.83,"2007"
"25","2007-0069-MDG",-18.49,46.34,"2007"
"26","2007-0133-NZL",-35.35,173.98,"2007"
"27","2007-0127-SLB",-8.466,157.043,"2007"
"28","2007-0039-PER",-11.47,-74.46,"2007"
"29","2007-0022-PHL",7.71,125.22,"2007"
"30","2007-0142-THA",7.44,99.65,"2007"
"31","2007-0024-YEM",15.1,43.88,"2007"
"32","2007-0311-BGD",23.92,91.23,"2007"
"33","2007-0528-BRA",-22.72,-43.42,"2007"
"34","2007-0572-BRB",14.944,-61.274,"2007"
"35","2007-0652-BOL",-17.66,-65.3,"2007"
"36","2007-0020-MOZ",-17.47,35.15,"2007"
"37","2007-0591-AUS",-13.67,131.92,"2007"
"38","2007-0556-BGD",22.61,90.15,"2007"
"39","2007-0523-BHS",18.53,-70.06,"2007"
"40","2007-0008-MWI",-17.47,35.15,"2007"
