"","event_id","lat","long","year"
"1","2006-0336-CHN",34.04,117.03,"2006"
"2","2006-0251-CHN",25.97,118.77,"2006"
"3","2006-0388-CHN",26.39,117.28,"2006"
"4","2006-0363-CHL",-72.64,-37.26,"2006"
"5","2006-0140-COL",5.43,-75.6,"2006"
"6","2006-0541-GRC",40.76,23.65,"2006"
"7","2006-0362-CHN",24,112.11,"2006"
"8","2006-0039-BOL",-16.03,-63.43,"2006"
"9","2006-0475-CHN",28.012,104.151,"2006"
"10","2006-0300-CHN",23.42,111.38,"2006"
"11","2006-0340-CHN",27.06,111.06,"2006"
"12","2006-0371-CHN",43.32,83.77,"2006"
"13","2006-0567-CHN",23.34,102.64,"2006"
"14","2006-0410-CHN",21.11,110.11,"2006"
"15","2006-0597-COG",-4.24,15.43,"2006"
"16","2006-0093-ECU",-2.23,-79.98,"2006"
"17","2006-0071-FJI",-16.45,179.65,"2006"
"18","2006-0678-IDN",0.626,99.859,"2006"
"19","2006-0099-IDN",1.07,124.66,"2006"
"20","2006-0311-IDN",-5.17,120.11,"2006"
"21","2006-0332-IDN",-3.29,115.49,"2006"
"22","2006-0074-IDN",-6.85,108.59,"2006"
"23","2006-0192-IDN",-7.84,111.86,"2006"
"24","2006-0548-IND",32.89,73.88,"2006"
"25","2006-0370-IND",19.17,83.65,"2006"
"26","2006-0417-IND",20.19,73.82,"2006"
"27","2006-0378-JPN",35.34,136.22,"2006"
"28","2006-0390-JPN",31.54,130.99,"2006"
"29","2006-0361-KOR",37.56,127.17,"2006"
"30","2006-0602-LKA",7.32,80.03,"2006"
"31","2006-0231-IDN",-3.595,127.214,"2006"
"32","2006-0156-AUT",49.86,16.09,"2006"
"33","2006-0445-BFA",14.42,-1.02,"2006"
"34","2006-0224-CAN",52.53,-82.09,"2006"
"35","2006-0264-CHN",26.75,118.57,"2006"
"36","2006-0156-CZE",49.86,16.09,"2006"
"37","2006-0156-DEU",49.86,16.09,"2006"
"38","2006-0208-GEO",42.27,42.83,"2006"
"39","2006-0155-AUS",-25.68,115.13,"2006"
"40","2006-0298-CHN",25.51,106.51,"2006"
"41","2006-0451-KHM",11.06,104.68,"2006"
"42","2006-0043-AUS",-23.26,116.94,"2006"
"43","2006-0139-AUS",-17.91,145.54,"2006"
"44","2006-0510-BGD",19.73,83.75,"2006"
"45","2006-0073-FJI",-17.82,177.68,"2006"
"46","2006-0510-IND",19.73,83.75,"2006"
"47","2006-0405-AFG",37.255,68.828,"2006"
"48","2006-0221-AFG",35.67,66.83,"2006"
"49","2006-0596-AFG",35.62,63.54,"2006"
"50","2006-0271-AFG",34.52,65.56,"2006"
"51","2006-0365-AFG",33.06,69.95,"2006"
"52","2006-0416-AFG",34.08,69.75,"2006"
"53","2006-0179-AUS",-14.18,132.39,"2006"
