"","event_id","lat","long","year"
"1","1994-0058-BOL",-13.841,-67.553,"1994"
"2","1994-0059-COL",30,-76.2,"1994"
"3","1994-0057-AFG",37,67,"1994"
"4","1994-0007-IDN",-4.967,104.302,"1994"
"5","1994-0041-IRN",29.096,52.617,"1994"
"6","1994-0006-IDN",1.015,127.733,"1994"
"7","1994-0025-IDN",-8.1,112.9,"1994"
"8","1994-0040-IRN",30.853,60.596,"1994"
"9","1994-0002-USA",0.34,30.12,"1994"
"10","1994-0051-UGA",0.593,30.037,"1994"
"11","1994-0642-AUS",-32.956,151.228,"1994"
"12","1994-0307-CHN",22.52,118.7,"1994"
"13","1994-0600-CHN",20.485,109.406,"1994"
"14","1994-0767-CHN",36.028,100.104,"1994"
"15","1994-0070-IRN",29.21,52.5,"1994"
"16","1994-0062-IDN",-10.2,13.2,"1994"
"17","1994-0513-IDN",-1.14,128.5,"1994"
"18","1994-0343-JPN",45.1,147.51,"1994"
"19","1994-0342-RUS",45.1,147.51,"1994"
"20","1994-0196-DZA",35.52,-0.12,"1994"
"21","1994-0652-IDN",-2.001,135.931,"1994"
"22","1994-0515-IDN",-7.5,110.4,"1994"
"23","1994-0316-JPN",40.5,143.4,"1994"
"24","1994-0169-MEX",19.5,-103.6,"1994"
"25","1994-0595-MEX",19.02,-98.62,"1994"
"26","1994-0518-PHL",13.352,121.087,"1994"
"27","1994-0768-PHL",7.972,123.189,"1994"
"28","1994-0212-PNG",-4.271,152.203,"1994"
"29","1994-0599-USA",34.17,-118.27,"1994"
"30","1994-0076-VUT",40.49,-124.1,"1994"
