"","event_id","lat","long","year"
"1","1990-0230-ECU",-0.259,-78.449,"1990"
"2","1990-0020-BGR",45.841,26.668,"1990"
"3","1990-0093-CHN",37.001,103.863,"1990"
"4","1990-0099-CHN",35.986,100.245,"1990"
"5","1990-0170-CRI",9.869,-84.302,"1990"
"6","1990-0191-CRI",9.919,-84.808,"1990"
"7","1990-0188-FJI",-22.122,175.163,"1990"
"8","1990-0221-FJI",-21.363,-176.582,"1990"
"9","1990-0593-IDN",3.908,97.457,"1990"
"10","1990-0034-IRN",36.961,49.414,"1990"
"11","1990-0040-PHL",15.658,121.227,"1990"
"12","1990-0033-SDN",5.041,32.109,"1990"
"13","1990-0009-PHL",9.725,124.625,"1990"
"14","1990-0029-PER",-6.016,-77.229,"1990"
"15","1990-0193-GBR",52.314,-2.985,"1990"
"16","1990-0169-GRC",40.9,22.5,"1990"
"17","1990-0217-GRC",38,23.44,"1990"
"18","1990-0017-IDN",1.186,122.857,"1990"
"19","1990-0702-IDN",-9.904,101.12,"1990"
"20","1990-0012-IDN",-7.9,112.3,"1990"
"21","1990-0118-IRN",28.251,55.462,"1990"
"22","1990-0105-ITA",40.38,15.48,"1990"
"23","1990-0250-ITA",37.3,15.438,"1990"
"24","1990-0202-KEN",5.289,31.859,"1990"
"25","1990-0194-NIC",11.426,-86.301,"1990"
"26","1990-0165-PAK",35.121,70.486,"1990"
"27","1990-0189-PAK",28.925,66.331,"1990"
"28","1990-0219-PAK",27.429,65.79,"1990"
"29","1990-0030-PER",-15.78,-71.85,"1990"
"30","1990-0028-PHL",11.76,121.899,"1990"
"31","1990-0214-PNG",-3.5,144,"1990"
"32","1990-0020-ROU",45.841,26.668,"1990"
"33","1990-0020-SUN",45.841,26.668,"1990"
"34","1990-0031-SUN",47.892,85.12,"1990"
"35","1990-0228-SUN",47.949,84.958,"1990"
"36","1990-0601-SUN",40.854,73.553,"1990"
"37","1990-0203-UGA",5.345,31.908,"1990"
"38","1990-0187-USA",34.14,-117.7,"1990"
"39","1990-0703-USA",37.885,-121.983,"1990"
"40","1990-0186-VUT",-15.465,166.385,"1990"
"41","1990-0190-VUT",-18.318,168.063,"1990"
"42","1990-0227-VUT",-15.319,167.396,"1990"
"43","1990-0704-ZAF",-26.39,27.349,"1990"
