"","event_id","lat","long","year"
"1","2000-0769-AZE",40.245,49.946,"2000"
"2","2000-0023-BGD",21.431,91.762,"2000"
"3","2000-0033-CHN",25.607,101.063,"2000"
"4","2000-0036-CHN",24.263,103.797,"2000"
"5","2000-0041-CHN",40.498,122.994,"2000"
"6","2000-0298-CHN",37.012,103.791,"2000"
"7","2000-0527-CHN",25.826,102.194,"2000"
"8","2000-0081-COL",7.042,-77.829,"2000"
"9","2000-0293-IDN",-4.646,102.102,"2000"
"10","2000-0656-JPN",35.456,133.134,"2000"
"11","2000-0480-RUS",48.786,142.246,"2000"
"12","2000-0230-IDN",-1.105,123.573,"2000"
"13","2000-0749-PNG",-3.98,152.169,"2000"
"14","2000-0303-GRC",38.922,20.64,"2000"
"15","2000-0008-GTM",14.381,-90.601,"2000"
"16","2000-0449-IDN",-6.675,106.845,"2000"
"17","2000-0761-IDN",-6.549,105.63,"2000"
"18","2000-0762-IDN",-4.612,101.905,"2000"
"19","2000-0051-IRN",35.288,58.218,"2000"
"20","2000-0065-IRN",35.217,58.175,"2000"
"21","2000-0076-ISL",63.98,-20.758,"2000"
"22","2000-0335-ISL",63.966,-20.487,"2000"
"23","2000-0428-JPN",34.221,139.131,"2000"
"24","2000-0176-JPN",34.92,139.12,"2000"
"25","2000-0111-MEX",18.198,-102.48,"2000"
"26","2000-0804-MEX",19.023,-98.622,"2000"
"27","2000-0387-NIC",11.884,-85.988,"2000"
"28","2000-0089-PHL",13.257,123.685,"2000"
"29","2000-0743-TJK",37.451,69.498,"2000"
"30","2000-0810-TKM",39.566,54.799,"2000"
"31","2000-0272-TUR",38.164,38.777,"2000"
"32","2000-0291-TUR",40.693,32.992,"2000"
"33","2000-0653-TZA",-7.977,30.709,"2000"
"34","2000-0598-USA",38.3788333,-122.4133333,"2000"
