"","event_id","lat","long","year"
"1","2010-0669-AFG",35.633,67.658,"2010"
"2","2010-0367-AFG",35.21,68.85,"2010"
"3","2010-0465-AUS",-38.07,143.32,"2010"
"4","2010-0601-BEL",50.85,4.35,"2010"
"5","2010-0147-BRA",-22.44,-43.33,"2010"
"6","2010-0667-CHN",25.558,105.804,"2010"
"7","2010-0575-CRI",9.074,-83.31,"2010"
"8","2010-0233-FRA",43.5,6.6,"2010"
"9","2010-0091-CHL",-36.122,-72.898,"2010"
"10","2010-0300-BFA",12.94,-1.39,"2010"
"11","2010-0647-ESP",37.811,-5.87,"2010"
"12","2010-0176-AFG",34.38,62.25,"2010"
"13","2010-0105-AGO",-16.11,17.25,"2010"
"14","2010-0066-AUS",-32.42,149.59,"2010"
"15","2010-0103-AUS",-26.21,147.95,"2010"
"16","2010-0624-AUS",-29.83,147.38,"2010"
"17","2010-0656-AUS",-24.77,147.63,"2010"
"18","2010-0676-BGD",24.21,91.03,"2010"
"19","2010-0023-BOL",-17.83,-63.6,"2010"
"20","2010-0064-CHN",30.268,105.668,"2010"
"21","2010-0087-CHN",25.523,101.903,"2010"
"22","2010-0169-CHN",33.165,96.548,"2010"
"23","2010-0673-CHN",27.197,103.005,"2010"
"24","2010-0168-COL",4.113,-72.96,"2010"
"25","2010-0067-DOM",19.63,-70.56,"2010"
"26","2010-0279-DOM",19.25,-70.39,"2010"
"27","2010-0274-ECU",-1.467,-78.442,"2010"
"28","2010-0021-EGY",28.08,31.09,"2010"
"29","2010-0619-GRC",40.106,21.46,"2010"
"30","2010-0220-GTM",14.381,-90.601,"2010"
"31","2010-0501-JAM",18.19,-77.29,"2010"
"32","2010-0003-SLB",-8.783,157.354,"2010"
"33","2010-0068-PRT",32.76,-16.97,"2010"
"34","2010-0058-MEX",19.94,-99,"2010"
"35","2010-0094-KEN",0.01,34.5,"2010"
"36","2010-0092-HTI",18.42,73.77,"2010"
"37","2010-0238-IDN",-2.174,136.543,"2010"
"38","2010-0512-IDN",-1.22,132.81,"2010"
"39","2010-0301-IDN",-2.14,114.97,"2010"
"40","2010-0373-IND",33.53,76.12,"2010"
"41","2010-0492-IND",26.73,82.84,"2010"
"42","2010-0333-NPL",28.35,84.78,"2010"
"43","2010-0666-PAN",8.88,-78.59,"2010"
"44","2010-0659-PHL",8.132,125.57,"2010"
"45","2010-0585-PHL",17.71,121.8,"2010"
"46","2010-0563-IDN",-3.487,100.082,"2010"
"47","2010-0109-KAZ",45.08,79.21,"2010"
"48","2010-0509-NGA",12.78,4.5,"2010"
"49","2010-0571-HTI",20.48,-75.88,"2010"
"50","2010-0170-ISL",63.62959,-19.64,"2010"
"51","2010-0308-PHL",17.1,121.47,"2010"
"52","2010-0484-TWN",22.429,120.7,"2010"
"53","2010-0187-USA",36.07,-87.28,"2010"
"54","2010-0522-USA",28.89,-97.06,"2010"
"55","2010-0613-MAR",9.77,-66.93,"2010"
"56","2010-0017-HTI",18.443,-72.571,"2010"
"57","2010-0446-IDN",3.17,98.392,"2010"
"58","2010-0576-IDN",-8.672,121.6,"2010"
"59","2010-0276-IND",30.18,74.77,"2010"
"60","2010-0283-IND",15.22,79.48,"2010"
"61","2010-0416-IND",26.235,92.25,"2010"
"62","2010-0493-IND",25.965,76.05,"2010"
"63","2010-0629-IND",9.88,78.47,"2010"
"64","2010-0018-IRN",32.45,48.3,"2010"
"65","2010-0361-IRN",35.221,59.317,"2010"
"66","2010-0363-IRN",27.022,53.861,"2010"
"67","2010-0591-IRN",33.37,48.94,"2010"
"68","2010-0645-IRN",28.412,59.18,"2010"
"69","2010-0672-IRN",35.49,54.47,"2010"
"70","2010-0582-ITA",45.13,11.14,"2010"
"71","2010-0285-KEN",1.5,36,"2010"
"72","2010-0280-LBR",6.01,-7.2,"2010"
"73","2010-0583-LKA",7.275,80.3,"2010"
"74","2010-0191-LKA",6.83,80.59,"2010"
"75","2010-0278-MDA",46.82,27.97,"2010"
"76","2010-0158-MEX",32.2861667,-115.2953333,"2010"
"77","2010-0097-MOZ",-19.96,34.25,"2010"
"78","2010-0523-MRT",16.245,-7.65,"2010"
"79","2010-0128-NAM",-18.69,23.23,"2010"
"80","2010-0379-NER",13.6,14,"2010"
"81","2010-0463-NZL",-43.522,171.83,"2010"
"82","2010-0293-PAK",30.51,66.95,"2010"
"83","2010-0282-PAK",36.03,72.08,"2010"
"84","2010-0028-PAN",9.11,-82.64,"2010"
"85","2010-0065-PER",-4.68,-78.29,"2010"
"86","2010-0606-PHL",12.77,124.05,"2010"
"87","2010-0232-PHL",6.78,125.3,"2010"
"88","2010-0369-PRK",39.59,125.71,"2010"
"89","2010-0415-PRK",40.365,124.97,"2010"
"90","2010-0297-SAU",21.51,41.92,"2010"
"91","2010-0338-SAU",20.61,41.17,"2010"
"92","2010-0319-SDN",18.7,36.7,"2010"
"93","2010-0115-SOM",9.2,45.49,"2010"
"94","2010-0300-TCD",11.385,14.63,"2010"
"95","2010-0552-THA",15.03,102.2,"2010"
"96","2010-0002-TJK",38.245,71.467,"2010"
"97","2010-0093-TUR",38.864,39.986,"2010"
"98","2010-0668-TWN",22.918,120.795,"2010"
"99","2010-0275-UKR",48.59,24.79,"2010"
"100","2010-0027-USA",40.652,-124.6925,"2010"
"101","2010-0162-USA",39.48,-74.87,"2010"
"102","2010-0225-USA",34.58,-95.1,"2010"
"103","2010-0651-USA",38.8497,-120.73,"2010"
"104","2010-0320-YEM",16.73,47.92,"2010"
"105","2010-0616-VEN",9.77,-66.93,"2010"
"106","2010-0332-VNM",22.11,105.95,"2010"
"107","2010-0573-VNM",12.52,108.9,"2010"
"108","2010-0597-VNM",15.1821,108.8,"2010"
"109","2010-0183-YEM",14.03,44.31,"2010"
"110","2010-0574-SRB",43.76,20.73,"2010"
"111","2010-0101-SRB",44.47,21.14,"2010"
