"","event_id","lat","long","year"
"1","2018-0082-ALB",40.866,19.941,"2018"
"2","2018-0040-BRA",-22.479,-44.095,"2018"
"3","2018-0062-BOL",-14.405,-64.013,"2018"
"4","2018-0161-ARG",-35.21,-58.199,"2018"
"5","2018-0156-AFG",34.94,68.216,"2018"
"6","2018-0104-AGO",-11.247,16.007,"2018"
"7","2018-0123-AUS",-17.015,145.218,"2018"
"8","2018-0065-BDI",-3.47,29.987,"2018"
"9","2018-0163-BDI",-4.015,29.641,"2018"
"10","2018-0158-BGD",23.226,92.13,"2018"
"11","2018-0220-BGR",42.698,23.9,"2018"
"12","2018-0112-BRA",-24.206,-48.623,"2018"
"13","2018-0160-CAN",50.358,-119.241,"2018"
"14","2018-0215-CHN",45.279,124.557,"2018"
"15","2018-0323-CHN",24.332,102.941,"2018"
"16","2018-0159-CHN",23.812,108.795,"2018"
"17","2018-0218-DOM",19.018,-69.704,"2018"
"18","2018-0162-DZA",33.907,3.215,"2018"
"19","2018-0383-IRN",35.606,52.429,"2018"
"20","2018-0190-JPN",35.65,137.895,"2018"
"21","2018-0384-LKA",6.806,80.637,"2018"
"22","2018-0055-PNG",-6.149,142.766,"2018"
"23","2018-0165-ROU",45.946,24.989,"2018"
"24","2018-0135-RWA",-1.784,30.012,"2018"
"25","2018-0257-IDN",-8.287,116.452,"2018"
"26","2018-0368-GHA",9.538,-1.066,"2018"
"27","2018-0361-ESP",39.591,2.936,"2018"
"28","2018-0037-FRA",48.511,1.606,"2018"
"29","2018-0157-GTM",15.88,-90.217,"2018"
"30","2018-0360-HTI",20.034,-73.013,"2018"
"31","2018-0031-IDN",-7.196,105.918,"2018"
"32","2018-0254-IDN",-8.274,116.491,"2018"
"33","2018-0302-IDN",-8.325,116.577,"2018"
"34","2018-0166-IDN",-8.497,118.569,"2018"
"35","2018-0281-IRN",34.645,46.179,"2018"
"36","2018-0310-IRN",34.663,46.277,"2018"
"37","2018-0426-IRN",34.304,45.74,"2018"
"38","2018-0128-ISR",31.164,34.861,"2018"
"39","2018-0183-JPN",34.826,135.64,"2018"
"40","2018-0167-KAZ",47.381,81.478,"2018"
"41","2018-0315-MEX",16.646,-97.653,"2018"
"42","2018-0255-MMR",18.191,95.434,"2018"
"43","2018-0104-MWI",-14.926,34.367,"2018"
"44","2018-0064-MWI",-10.351,33.847,"2018"
"45","2018-0164-MWI",-11.158,34.02,"2018"
"46","2018-0063-MYS",3.133,3.659,"2018"
"47","2018-0365-NGA",10.475,8.238,"2018"
"48","2018-0219-NPL",28.238,84.398,"2018"
"49","2018-0011-PER",-15.759,74.71,"2018"
"50","2018-0316-PNG",-6.307,142.62,"2018"
"51","2018-0317-PNG",-6.294,142.607,"2018"
"52","2018-0329-PRK",38.531,126.573,"2018"
"53","2018-0066-PRY",-25.312,-57.599,"2018"
"54","2018-0113-RUS",52.883,84.596,"2018"
"55","2018-0387-SDN",13.487,31.942,"2018"
"56","2018-0221-SDN",10.763,27.364,"2018"
"57","2018-0321-SLV",13.095,-88.099,"2018"
"58","2018-0005-COD",-4.355,15.116,"2018"
"59","2018-0059-TWN",24.136,121.658,"2018"
"60","2018-0125-TZA",-11.158,34.02,"2018"
"61","2018-0386-VEN",10.426,-66.55,"2018"
