"","event_id","lat","long","year"
"1","2012-0425-IND",11.82,78.08,"2012"
"2","2012-0164-AFG",36.023,69.351,"2012"
"3","2012-0175-BGD",22.1723,92.1,"2012"
"4","2012-0173-CHN",33.4553,106.94,"2012"
"5","2012-0071-ECU",-0.5987,-79.5,"2012"
"6","2012-0024-FJI",-17.784,178.08,"2012"
"7","2012-0165-GEO",42.0681,44.52,"2012"
"8","2012-0114-HTI",19.4433,-72.58,"2012"
"9","2012-0179-IND",26.5659,92.44,"2012"
"10","2012-0334-IND",30.1135,78.85,"2012"
"11","2012-0354-IND",31.3,76.85,"2012"
"12","2012-0382-IND",26.8,93.63,"2012"
"13","2012-0033-BGR",42.555,24.26,"2012"
"14","2012-0143-AFG",34.2696,64.19,"2012"
"15","2012-0183-AFG",37.0528,70,"2012"
"16","2012-0593-ARG",-27.5,-59.63,"2012"
"17","2012-0029-AUS",-21.71,146.64,"2012"
"18","2012-0191-AZE",41.549,46.789,"2012"
"19","2012-0545-AZE",41.439,46.789,"2012"
"20","2012-0152-BGR",42.645,22.968,"2012"
"21","2012-0075-BRA",-10.4897,-67.99,"2012"
"22","2012-0068-CAN",46.5994,-67.5,"2012"
"23","2012-0126-CHL",-35.2,-72.217,"2012"
"24","2012-0070-CHL",-52.8256,-69.41,"2012"
"25","2012-0190-CHN",27.767,100.781,"2012"
"26","2012-0338-CHN",43.433,84.7,"2012"
"27","2012-0350-CHN",27.575,103.983,"2012"
"28","2012-0397-CHN",32.978,119.593,"2012"
"29","2012-0536-CHN",38.745,88.098,"2012"
"30","2012-0604-CHN",39.383,81.307,"2012"
"31","2012-0477-CHN",31.41,113.04,"2012"
"32","2012-0187-COL",3.606,-73.07,"2012"
"33","2012-0343-CRI",10.085,-85.315,"2012"
"34","2012-0069-FJI",-17.7982,178.02,"2012"
"35","2012-0446-GBR",54.04,-2.13,"2012"
"36","2012-0552-GBR",53.45,-1.19,"2012"
"37","2012-0080-GRC",39.8677,21.01,"2012"
"38","2012-0407-GTM",13.988,-91.895,"2012"
"39","2012-0313-HTI",19.1356,-72.28,"2012"
"40","2012-0097-IDN",2.327,93.063,"2012"
"41","2012-0398-IDN",-1.315,120.096,"2012"
"42","2012-0275-IRN",38.329,46.826,"2012"
"43","2012-0502-IRN",33.506,59.571,"2012"
"44","2012-0597-IRN",36.288,58.835,"2012"
"45","2012-0471-IRN",36.53,54.26,"2012"
"46","2012-0142-ITA",44.89,11.23,"2012"
"47","2012-0162-ITA",44.851,11.086,"2012"
"48","2012-0466-ITA",43.1605,12.41,"2012"
"49","2012-0166-KEN",-0.191962,35.19,"2012"
"50","2012-0537-LKA",7.976,80.77,"2012"
"51","2012-0417-MMR",23.005,95.885,"2012"
"52","2012-0031-PHL",9.999,123.206,"2012"
"53","2012-0414-PRK",38.19,126.24,"2012"
"54","2012-0313-USA",30.503,-89.35,"2012"
"55","2012-0124-MEX",16.493,-98.231,"2012"
"56","2012-0319-MMR",16.5919,97.85,"2012"
"57","2012-0186-NPL",28.524,83.83,"2012"
"58","2012-0363-PAK",28.04,68.77,"2012"
"59","2012-0475-PAK",35.03,73.52,"2012"
"60","2012-0020-PER",-14.168,-75.635,"2012"
"61","2012-0321-PHL",7.905,125.044,"2012"
"62","2012-0431-PHL",10.811,126.638,"2012"
"63","2012-0172-PHL",6.873,124.78,"2012"
"64","2012-0078-PHL",8.22392,125.27,"2012"
"65","2012-0444-RUS",42.33,47.59,"2012"
"66","2012-0130-RWA",-1.40095,29.36,"2012"
"67","2012-0188-SAU",20.5946,51.01,"2012"
"68","2012-0318-SEN",14.46,-15.49,"2012"
"69","2012-0472-SOM",4.94,44.89,"2012"
"70","2012-0375-THA",17.09,99.64,"2012"
"71","2012-0151-TJK",38.612,70.354,"2012"
"72","2012-0178-TWN",24.0587,120.94,"2012"
"73","2012-0072-TZA",-1.83097,34.79,"2012"
"74","2012-0380-UGA",2.65,32.72,"2012"
"75","2012-0177-USA",30.3632,-58.51,"2012"
"76","2012-0176-USA",28.9635,-82.5,"2012"
"77","2012-0351-VNM",38.19,126.24,"2012"
"78","2012-0469-ZAF",-32.93,26.56,"2012"
"79","2012-0473-SSD",9.56,29.58,"2012"
"80","2012-0476-SSD",9.69,30.21,"2012"
