"","event_id","lat","long","year"
"1","2008-0229-CHL",-35.86,-71.95,"2008"
"2","2008-0525-AUS",-30.05,151.49,"2008"
"3","2008-0016-BRA",-24.5,-47.88,"2008"
"4","2008-0041-BRA",-22.37,-43.13,"2008"
"5","2008-0125-BRA",-5.36,-41.68,"2008"
"6","2008-0549-BRA",-25.1,-49.34,"2008"
"7","2008-0192-CHN",31.002,103.322,"2008"
"8","2008-0581-AUS",-21.56,147.03,"2008"
"9","2008-0233-BLZ",17.3,-88.1,"2008"
"10","2008-0264-CAN",52.15,-81.96,"2008"
"11","2008-0060-AGO",-17.05,17.26,"2008"
"12","2008-0182-ARG",-42.833,-72.65,"2008"
"13","2008-0053-ARG",-22.92,-61.66,"2008"
"14","2008-0014-AUS",-28.44,152.87,"2008"
"15","2008-0017-AUS",-20.4,144.56,"2008"
"16","2008-0098-AUS",-22.46,149.54,"2008"
"17","2008-0385-BGD",21.02,90.21,"2008"
"18","2008-0484-BLZ",15.86,-89.28,"2008"
"19","2008-0170-CAN",44.46,-77.47,"2008"
"20","2008-0182-CHL",-42.833,-72.65,"2008"
"21","2008-0325-CHN",32.756,105.494,"2008"
"22","2008-0355-CHN",25.039,97.697,"2008"
"23","2008-0249-PHL",13.16,122.6,"2008"
"24","2008-0649-COL",4.33,-73.764,"2008"
"25","2008-0546-COL",2.93,-76.03,"2008"
"26","2008-0121-COL",2.68,-75.42,"2008"
"27","2008-0551-CRI",8.57,80.8,"2008"
"28","2008-0444-DZA",3.48,32.24,"2008"
"29","2008-0048-ECU",-1.25,-79.66,"2008"
"30","2008-0226-GRC",37.963,21.525,"2008"
"31","2008-0484-HND",15.86,-89.28,"2008"
"32","2008-0092-IDN",-6.8,111.06,"2008"
"33","2008-0246-IND",25.18,91.54,"2008"
"34","2008-0242-JPN",39.03,140.881,"2008"
"35","2008-0275-JPN",39.802,141.464,"2008"
"36","2008-0518-KEN",0.05,35.12,"2008"
"37","2008-0224-LKA",7.18,80.77,"2008"
"38","2008-0132-LKA",7.83,80.82,"2008"
"39","2008-0570-MYS",4.94,101.8,"2008"
"40","2008-0457-NIC",12,-86.37,"2008"
"41","2008-0500-PAK",30.639,67.351,"2008"
"42","2008-0064-PER",-10.11,-73.01,"2008"
"43","2008-0077-PHL",11.64,125.22,"2008"
"44","2008-0108-IDN",-7.13,112.37,"2008"
"45","2008-0486-IND",22.044,94.55,"2008"
