"","event_id","lat","long","year"
"1","1999-0016-COL",4.461,-75.724,"1999"
"2","1999-0054-AFG",34.259,69.364,"1999"
"3","1999-0196-AZE",40.802,47.448,"1999"
"4","1999-0228-BGD",21.544,91.895,"1999"
"5","1999-0383-CHN",41.131,114.658,"1999"
"6","1999-0455-CHN",39.899,113.983,"1999"
"7","1999-0553-CHN",40.459,122.889,"1999"
"8","1999-0100-CMR",4.2,9.17,"1999"
"9","1999-0208-MEX",18.386,-97.436,"1999"
"10","1999-0384-PER",-16.66,-72.662,"1999"
"11","1999-0561-DZA",35.321,-1.281,"1999"
"12","1999-0584-ECU",-0.17,-78.6,"1999"
"13","1999-0638-ESP",38.193,-1.566,"1999"
"14","1999-0302-GRC",38.119,23.605,"1999"
"15","1999-0639-GTM",15.782,88.33,"1999"
"16","1999-0568-IDN",-6.845,105.555,"1999"
"17","1999-0099-IND",30.512,79.403,"1999"
"18","1999-0065-IRN",28.343,57.193,"1999"
"19","1999-0150-IRN",29.501,51.88,"1999"
"20","1999-0587-IRN",36.92,54.9,"1999"
"21","1999-0360-MEX",16.1,96.7,"1999"
"22","1999-0385-MEX",18.324,-101.539,"1999"
"23","1999-0055-MEX",19.51,-103.62,"1999"
"24","1999-0537-NIC",12.7,-87,"1999"
"25","1999-0585-NIC",12.5,-86.7,"1999"
"26","1999-0434-PER",-13.64,-74.43,"1999"
"27","1999-0644-PHL",15.766,119.74,"1999"
"28","1999-0047-RUS",42.962,46.954,"1999"
"29","1999-0601-RUS",43.21,46.82,"1999"
"30","1999-0524-VUT",-16.423,168.214,"1999"
"31","1999-0449-TUR",40.758,31.161,"1999"
"32","1999-0321-TWN",23.772,120.982,"1999"
"33","1999-0268-TUR",40.748,29.864,"1999"
"34","1999-0314-TUR",40.709,30.045,"1999"
"35","1999-0386-TUR",40.711,29.949,"1999"
"36","1999-0445-TUR",40.74,30.26,"1999"
"37","1999-0405-TWN",23.445,120.506,"1999"
